#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   135   0.387237E+04  -0.430318E+02   0.252367E-03  -0.430318E+02   0.111241E+01  -0.122806E-05   0.252367E-03  -0.122806E-05   0.820112E-07
   136   0.390694E+04  -0.433846E+02   0.249990E-03  -0.433846E+02   0.111458E+01  -0.122996E-05   0.249990E-03  -0.122996E-05   0.815248E-07
   137   0.394145E+04  -0.437190E+02   0.247653E-03  -0.437190E+02   0.111624E+01  -0.123011E-05   0.247653E-03  -0.123011E-05   0.810424E-07
   138   0.397591E+04  -0.440346E+02   0.245355E-03  -0.440346E+02   0.111741E+01  -0.122862E-05   0.245355E-03  -0.122862E-05   0.805638E-07
   139   0.401031E+04  -0.443312E+02   0.243095E-03  -0.443312E+02   0.111809E+01  -0.122558E-05   0.243095E-03  -0.122558E-05   0.800891E-07
   140   0.404464E+04  -0.446082E+02   0.240871E-03  -0.446082E+02   0.111827E+01  -0.122110E-05   0.240871E-03  -0.122110E-05   0.796182E-07
   141   0.407889E+04  -0.448652E+02   0.238682E-03  -0.448652E+02   0.111796E+01  -0.121529E-05   0.238682E-03  -0.121529E-05   0.791511E-07
   142   0.411304E+04  -0.451019E+02   0.236527E-03  -0.451019E+02   0.111715E+01  -0.120823E-05   0.236527E-03  -0.120823E-05   0.786878E-07
   143   0.414712E+04  -0.453178E+02   0.234403E-03  -0.453178E+02   0.111586E+01  -0.120004E-05   0.234403E-03  -0.120004E-05   0.782282E-07
   144   0.418108E+04  -0.455125E+02   0.232309E-03  -0.455125E+02   0.111408E+01  -0.119082E-05   0.232309E-03  -0.119082E-05   0.777723E-07
   145   0.421493E+04  -0.456856E+02   0.230244E-03  -0.456856E+02   0.111181E+01  -0.118066E-05   0.230244E-03  -0.118066E-05   0.773201E-07
   146   0.424864E+04  -0.458368E+02   0.228206E-03  -0.458368E+02   0.110907E+01  -0.116968E-05   0.228206E-03  -0.116968E-05   0.768716E-07
   147   0.428221E+04  -0.459655E+02   0.226193E-03  -0.459655E+02   0.110586E+01  -0.115796E-05   0.226193E-03  -0.115796E-05   0.764267E-07
   148   0.431562E+04  -0.460715E+02   0.224205E-03  -0.460715E+02   0.110218E+01  -0.114561E-05   0.224205E-03  -0.114561E-05   0.759853E-07
   149   0.434886E+04  -0.461543E+02   0.222240E-03  -0.461543E+02   0.109804E+01  -0.113274E-05   0.222240E-03  -0.113274E-05   0.755476E-07
   150   0.438191E+04  -0.462135E+02   0.220295E-03  -0.462135E+02   0.109345E+01  -0.111945E-05   0.220295E-03  -0.111945E-05   0.751134E-07
   151   0.441475E+04  -0.462488E+02   0.218370E-03  -0.462488E+02   0.108842E+01  -0.110582E-05   0.218370E-03  -0.110582E-05   0.746827E-07
   152   0.444739E+04  -0.462599E+02   0.216465E-03  -0.462599E+02   0.108294E+01  -0.109188E-05   0.216465E-03  -0.109188E-05   0.742555E-07
   153   0.447982E+04  -0.462465E+02   0.214580E-03  -0.462465E+02   0.107705E+01  -0.107767E-05   0.214580E-03  -0.107767E-05   0.738318E-07
   154   0.451202E+04  -0.462084E+02   0.212713E-03  -0.462084E+02   0.107075E+01  -0.106320E-05   0.212713E-03  -0.106320E-05   0.734116E-07
   155   0.454400E+04  -0.461452E+02   0.210866E-03  -0.461452E+02   0.106404E+01  -0.104848E-05   0.210866E-03  -0.104848E-05   0.729948E-07
   156   0.457577E+04  -0.460569E+02   0.209038E-03  -0.460569E+02   0.105694E+01  -0.103356E-05   0.209038E-03  -0.103356E-05   0.725813E-07
   157   0.460729E+04  -0.459431E+02   0.207228E-03  -0.459431E+02   0.104946E+01  -0.101843E-05   0.207228E-03  -0.101843E-05   0.721713E-07
   158   0.463857E+04  -0.458036E+02   0.205438E-03  -0.458036E+02   0.104163E+01  -0.100313E-05   0.205438E-03  -0.100313E-05   0.717646E-07
